Brand,Title,Shipping,Price
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 DUKE 8G OC Video Card,Free Shipping,499.99
XFX,XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 Video Card,Free Shipping,159.99
ASUS,ASUS ROG STRIX GeForce RTX 2080 Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C (ROG-STRIX-RTX2080-O8G-GAMING),Free Shipping,789.99
Sapphire Tech,"Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI), 100411NT+8GL",Free Shipping,199.99
ZOTAC,"ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, IceStorm 2.0, ZT-T20600F-10M",Free Shipping,349.99
GIGABYTE,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060GAMING OC-6GD Video Card,Free Shipping,379.99
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping,199.99
EVGA,"EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING, 11G-P4-2487-KR, 11GB GDDR6, iCX2 & RGB LED",Free Shipping,"1,499.99"
Sapphire Tech,SAPPHIRE Radeon RX Vega 64 DirectX 12 21275-03-20G Video Card,Free Shipping,399.99
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING Video Card,Free Shipping,419.99
PowerColor,PowerColor RED DRAGON Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2HD/OC Video Card,Free Shipping,339.99
GIGABYTE,"GIGABYTE GeForce RTX 2070 GAMING OC 8G Video Card, GV-N2070GAMING OC-8GC",Free Shipping,499.99
